4D-CT Data Output File,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Time (seconds),Point Data,,,,Line Data,,,,,,,,,,,,,,,,,,,,,,
96.9798,Point,Transformed to Volume,,Coordinates,,Line,P1,P2,Distance,Transformed to Volume,Transformed Distance,Bounds of Polydata,,,,,,,,,,,,,,,
,,,X,Y,Z,,,,,,,Xmin,Ymin,Zmin,Xmax,Ymax,Zmax,,Xmax - Xmin,,,,mean,diff,,,
,1,65,79.5622,51.6686,35.9251,65,1,65,25.3958,65,27.0217,,52.3824,34.7277,1.74E-07,79.1657,98.2848,37.5,,26.7833,,,,,,,
,1,66,79.5702,51.5094,36.1319,66,1,66,25.3958,66,27.1524,,52.6694,34.724,-1.27E-07,79.1586,99.1591,37.5,,26.4892,,,,,,,
,1,67,79.6279,51.2185,36.8666,67,1,67,25.3958,67,27.2999,,52.3821,34.4309,-1.48E-08,79.1663,100.335,37.5,,26.7842,,,,,,,
,1,68,80.0151,53.7812,34.64,68,1,68,25.3958,68,27.2483,,52.6714,34.4294,-2.87E-07,79.1621,101.513,37.5,,26.4907,,,,,,,
,1,69,79.6705,52.2554,36.0324,69,1,69,25.3958,69,27.1731,,52.6717,34.136,-8.34E-09,79.162,102.393,37.5,,26.4903,,,,,,,
,1,70,80.101,54.2812,34.6427,70,1,70,25.3958,70,27.1937,,52.3828,33.8359,5.80E-07,79.1655,103.271,37.5,,,,,,,,,
,1,71,80.1594,54.7321,34.7911,71,1,71,25.3958,71,27.3467,,52.6695,33.8299,2.71E-07,79.1624,104.753,37.5,,,,,,,,,
,1,72,80.2842,54.6131,34.8865,72,1,72,25.3958,72,27.3904,,52.3843,33.5394,5.53E-08,79.1633,105.62,37.5,,,,,,,,,
,1,73,80.0181,53.7254,35.3394,73,1,73,25.3958,73,27.1099,,52.3847,33.2432,-2.60E-08,79.1667,106.504,37.5,,,,,,,,,
,1,74,79.8764,60.9162,32.9538,74,1,74,25.3958,74,27.0067,,52.669,33.2405,1.54E-07,79.1647,107.68,37.5,,,,,,,,,
,1,75,79.4491,59.8341,34.4938,75,1,75,25.3958,75,27.1936,,52.3799,32.6517,1.02E-07,79.1662,109.147,37.5,,,,,,,,,
,1,76,80.0827,61.9809,31.9332,76,1,76,25.3958,76,27.3636,,52.669,32.3513,8.60E-08,79.1628,110.608,37.5,,,,,,,,,
,1,77,79.8616,62.7254,32.6094,77,1,77,25.3958,77,28.2842,,52.6721,32.0599,-5.93E-08,79.1634,111.493,37.5,,,,,,,,,
,1,78,79.5935,64.9153,32.1689,78,1,78,25.3958,78,28.1542,,52.6684,31.4713,-2.74E-07,79.4575,112.669,37.5,,,,,,,,,
,1,79,80.1902,65.0269,27.8119,79,1,79,25.3958,79,28.3509,,52.6683,29.7066,4.50E-07,79.456,114.426,37.5,,,,,,,,,
